Zeitraum,Bibliothek,Entleihungen,Besucher,aktivierte Ausweise
2024-01,Buchsommer,,,
2024-01,Böhlitz-Ehrenberg,5789.0,2210.0,883.0
2024-01,Fahrbibliothek,5699.0,2341.0,1322.0
2024-01,Gohlis,21746.0,8095.0,3328.0
2024-01,Grünau-Mitte,4012.0,2051.0,578.0
2024-01,Grünau-Nord,3362.0,1736.0,391.0
2024-01,Grünau-Süd,3784.0,1993.0,540.0
2024-01,Holzhausen,2068.0,484.0,332.0
2024-01,Lützschena-Stahmeln,1200.0,332.0,202.0
2024-01,Mockau,3047.0,2279.0,535.0
2024-01,Onleihe,30363.0,17498.0,
2024-01,Overdrive,1428.0,1031.0,
2024-01,Paunsdorf,7498.0,3777.0,934.0
2024-01,Plagwitz,18867.0,7808.0,2915.0
2024-01,Reudnitz,5474.0,3525.0,1033.0
2024-01,Schönefeld,3331.0,3181.0,609.0
2024-01,Stadtbibliothek,212593.0,39811.0,15572.0
2024-01,Südvorstadt,14205.0,7399.0,2279.0
2024-01,Volkmarsdorf,2331.0,1884.0,357.0
2024-01,Wiederitzsch,2275.0,569.0,407.0
2024-01,weitere Online-Dienste,66868.0,367461.0,
2024-02,Buchsommer,,,
2024-02,Böhlitz-Ehrenberg,5289.0,2225.0,92.0
2024-02,Fahrbibliothek,3901.0,1867.0,153.0
2024-02,Gohlis,17092.0,5575.0,376.0
2024-02,Grünau-Mitte,3089.0,1599.0,68.0
2024-02,Grünau-Nord,2173.0,1255.0,44.0
2024-02,Grünau-Süd,2748.0,1662.0,68.0
2024-02,Holzhausen,1935.0,411.0,28.0
2024-02,Lützschena-Stahmeln,744.0,279.0,22.0
2024-02,Mockau,2606.0,1828.0,84.0
2024-02,Onleihe,28243.0,16454.0,
2024-02,Overdrive,1232.0,889.0,
2024-02,Paunsdorf,5974.0,2923.0,129.0
2024-02,Plagwitz,14763.0,6140.0,453.0
2024-02,Reudnitz,3948.0,2684.0,139.0
2024-02,Schönefeld,2945.0,2575.0,109.0
2024-02,Stadtbibliothek,165590.0,31601.0,1964.0
2024-02,Südvorstadt,11072.0,6145.0,278.0
2024-02,Volkmarsdorf,1957.0,1516.0,69.0
2024-02,Wiederitzsch,1929.0,403.0,36.0
2024-02,weitere Online-Dienste,58060.0,246669.0,
2024-03,Buchsommer,,,
2024-03,Böhlitz-Ehrenberg,5563.0,2188.0,77.0
2024-03,Fahrbibliothek,4775.0,2300.0,135.0
2024-03,Gohlis,17982.0,7683.0,367.0
2024-03,Grünau-Mitte,3447.0,1845.0,64.0
2024-03,Grünau-Nord,2625.0,1861.0,86.0
2024-03,Grünau-Süd,2976.0,1711.0,46.0
2024-03,Holzhausen,1919.0,483.0,31.0
2024-03,Lützschena-Stahmeln,903.0,266.0,21.0
2024-03,Mockau,2754.0,2221.0,70.0
2024-03,Onleihe,32516.0,17471.0,
2024-03,Overdrive,1550.0,1117.0,
2024-03,Paunsdorf,6932.0,3500.0,179.0
2024-03,Plagwitz,15747.0,13983.0,344.0
2024-03,Reudnitz,4318.0,2953.0,137.0
2024-03,Schönefeld,2934.0,3140.0,75.0
2024-03,Stadtbibliothek,207471.0,36275.0,1638.0
2024-03,Südvorstadt,11960.0,6887.0,226.0
2024-03,Volkmarsdorf,1893.0,1381.0,39.0
2024-03,Wiederitzsch,2243.0,419.0,37.0
2024-03,weitere Online-Dienste,58871.0,335073.0,
2024-04,Buchsommer,,,
2024-04,Böhlitz-Ehrenberg,5595.0,2351.0,54.0
2024-04,Fahrbibliothek,4142.0,1448.0,72.0
2024-04,Gohlis,17626.0,7182.0,276.0
2024-04,Grünau-Mitte,3718.0,1874.0,42.0
2024-04,Grünau-Nord,2770.0,2069.0,51.0
2024-04,Grünau-Süd,3047.0,1800.0,37.0
2024-04,Holzhausen,1566.0,381.0,16.0
2024-04,Lützschena-Stahmeln,813.0,238.0,9.0
2024-04,Mockau,2773.0,1879.0,36.0
2024-04,Onleihe,29854.0,16737.0,
2024-04,Overdrive,1470.0,1071.0,
2024-04,Paunsdorf,6839.0,3574.0,74.0
2024-04,Plagwitz,14805.0,8466.0,269.0
2024-04,Reudnitz,4408.0,3096.0,80.0
2024-04,Schönefeld,3183.0,2728.0,46.0
2024-04,Stadtbibliothek,202137.0,37306.0,1355.0
2024-04,Südvorstadt,11379.0,6528.0,193.0
2024-04,Volkmarsdorf,2103.0,1490.0,26.0
2024-04,Wiederitzsch,2055.0,194.0,31.0
2024-04,weitere Online-Dienste,62927.0,462248.0,
2024-05,Buchsommer,,,
2024-05,Böhlitz-Ehrenberg,5363.0,1994.0,23.0
2024-05,Fahrbibliothek,4474.0,2070.0,76.0
2024-05,Gohlis,17354.0,6052.0,199.0
2024-05,Grünau-Mitte,3346.0,1479.0,35.0
